User_ID,Timestamp,Event_Name,Device,Channel,User_Type
U1000,4/4/25 00:05,Visited Website,Mobile,Organic,New
U1000,4/4/25 00:47,Requested Quote,Mobile,Referral,New
U1001,4/4/25 00:45,Visited Website,Tablet,Paid Ads,New
U1001,4/4/25 00:59,Requested Quote,Mobile,Email Campaign,New
U1001,4/4/25 01:50,Completed Eligibility Check,Mobile,Organic,Returning
U1002,4/9/25 00:53,Visited Website,Desktop,Organic,New
U1002,4/9/25 01:16,Requested Quote,Mobile,Paid Ads,Returning
U1002,4/9/25 01:49,Completed Eligibility Check,Tablet,Organic,New
U1002,4/9/25 02:40,Viewed Premium Options,Mobile,Email Campaign,New
U1003,4/4/25 00:13,Visited Website,Mobile,Organic,New
U1003,4/4/25 00:56,Requested Quote,Mobile,Referral,Returning
U1003,4/4/25 01:23,Completed Eligibility Check,Mobile,Referral,New
U1003,4/4/25 01:48,Viewed Premium Options,Desktop,Paid Ads,Returning
U1004,4/3/25 00:21,Visited Website,Tablet,Email Campaign,Returning
U1004,4/3/25 00:26,Requested Quote,Tablet,Organic,Returning
U1004,4/3/25 01:21,Completed Eligibility Check,Mobile,Organic,Returning
U1004,4/3/25 02:05,Viewed Premium Options,Mobile,Organic,New
U1004,4/3/25 02:24,Started Application,Desktop,Referral,New
U1005,4/4/25 00:40,Visited Website,Mobile,Email Campaign,Returning
U1006,4/9/25 00:24,Visited Website,Desktop,Organic,Returning
U1006,4/9/25 01:13,Requested Quote,Tablet,Paid Ads,New
U1006,4/9/25 01:29,Completed Eligibility Check,Tablet,Email Campaign,New
U1006,4/9/25 02:03,Viewed Premium Options,Desktop,Email Campaign,Returning
U1006,4/9/25 02:44,Started Application,Tablet,Organic,New
U1006,4/9/25 03:13,Uploaded Documents,Mobile,Referral,New
U1006,4/9/25 03:42,Purchased Policy,Mobile,Email Campaign,New
U1007,4/9/25 00:29,Visited Website,Desktop,Paid Ads,Returning
U1007,4/9/25 01:05,Requested Quote,Tablet,Email Campaign,Returning
U1008,4/1/25 00:12,Visited Website,Tablet,Referral,Returning
U1008,4/1/25 00:57,Requested Quote,Desktop,Paid Ads,Returning
U1008,4/1/25 01:24,Completed Eligibility Check,Desktop,Referral,Returning
U1008,4/1/25 01:58,Viewed Premium Options,Tablet,Organic,New
U1009,4/1/25 00:50,Visited Website,Desktop,Email Campaign,New
U1009,4/1/25 01:19,Requested Quote,Mobile,Paid Ads,New
U1009,4/1/25 01:49,Completed Eligibility Check,Tablet,Referral,Returning
U1009,4/1/25 02:09,Viewed Premium Options,Desktop,Organic,New
U1009,4/1/25 02:37,Started Application,Desktop,Paid Ads,Returning
U1009,4/1/25 02:56,Uploaded Documents,Desktop,Email Campaign,Returning
U1010,4/2/25 00:14,Visited Website,Tablet,Email Campaign,Returning
U1010,4/2/25 01:07,Requested Quote,Mobile,Referral,Returning
U1011,4/7/25 00:57,Visited Website,Mobile,Paid Ads,Returning
U1011,4/7/25 01:02,Requested Quote,Tablet,Organic,Returning
U1012,4/1/25 00:21,Visited Website,Desktop,Organic,New
U1013,4/4/25 00:06,Visited Website,Tablet,Organic,Returning
U1013,4/4/25 00:34,Requested Quote,Tablet,Referral,New
U1013,4/4/25 00:49,Completed Eligibility Check,Desktop,Organic,Returning
U1013,4/4/25 01:08,Viewed Premium Options,Tablet,Paid Ads,New
U1014,4/9/25 00:32,Visited Website,Mobile,Referral,Returning
U1014,4/9/25 01:07,Requested Quote,Tablet,Email Campaign,Returning
U1014,4/9/25 01:48,Completed Eligibility Check,Desktop,Referral,New
U1014,4/9/25 02:10,Viewed Premium Options,Tablet,Referral,Returning
U1014,4/9/25 02:53,Started Application,Mobile,Referral,Returning
U1014,4/9/25 03:37,Uploaded Documents,Tablet,Paid Ads,New
U1015,4/7/25 00:24,Visited Website,Tablet,Email Campaign,New
U1015,4/7/25 00:35,Requested Quote,Tablet,Email Campaign,Returning
U1016,4/10/25 00:43,Visited Website,Tablet,Referral,New
U1016,4/10/25 01:24,Requested Quote,Desktop,Referral,New
U1016,4/10/25 02:18,Completed Eligibility Check,Mobile,Referral,Returning
U1016,4/10/25 02:43,Viewed Premium Options,Mobile,Paid Ads,New
U1016,4/10/25 02:59,Started Application,Mobile,Paid Ads,Returning
U1016,4/10/25 03:12,Uploaded Documents,Tablet,Organic,New
U1017,4/7/25 00:44,Visited Website,Mobile,Email Campaign,Returning
U1017,4/7/25 01:12,Requested Quote,Desktop,Organic,Returning
U1017,4/7/25 01:42,Completed Eligibility Check,Tablet,Organic,Returning
U1017,4/7/25 02:02,Viewed Premium Options,Tablet,Referral,New
U1018,4/9/25 00:47,Visited Website,Mobile,Paid Ads,Returning
U1018,4/9/25 01:41,Requested Quote,Tablet,Organic,New
U1018,4/9/25 01:51,Completed Eligibility Check,Tablet,Organic,Returning
U1018,4/9/25 02:18,Viewed Premium Options,Mobile,Organic,Returning
U1018,4/9/25 03:04,Started Application,Desktop,Referral,Returning
U1018,4/9/25 03:53,Uploaded Documents,Desktop,Referral,New
U1018,4/9/25 04:04,Purchased Policy,Mobile,Paid Ads,Returning
U1019,4/9/25 00:07,Visited Website,Desktop,Organic,Returning
U1019,4/9/25 00:32,Requested Quote,Desktop,Organic,New
U1019,4/9/25 01:28,Completed Eligibility Check,Desktop,Paid Ads,Returning
U1020,4/9/25 00:36,Visited Website,Tablet,Paid Ads,Returning
U1020,4/9/25 01:25,Requested Quote,Tablet,Paid Ads,New
U1021,4/4/25 00:32,Visited Website,Tablet,Email Campaign,New
U1021,4/4/25 01:30,Requested Quote,Desktop,Paid Ads,New
U1021,4/4/25 01:49,Completed Eligibility Check,Tablet,Referral,Returning
U1021,4/4/25 02:36,Viewed Premium Options,Desktop,Email Campaign,New
U1021,4/4/25 02:46,Started Application,Mobile,Paid Ads,Returning
U1022,4/5/25 00:42,Visited Website,Desktop,Referral,Returning
U1022,4/5/25 01:14,Requested Quote,Tablet,Paid Ads,New
U1022,4/5/25 02:09,Completed Eligibility Check,Desktop,Paid Ads,New
U1022,4/5/25 03:06,Viewed Premium Options,Tablet,Email Campaign,Returning
U1022,4/5/25 03:16,Started Application,Tablet,Referral,New
U1022,4/5/25 03:44,Uploaded Documents,Mobile,Organic,New
U1022,4/5/25 04:31,Purchased Policy,Mobile,Paid Ads,Returning
U1023,4/3/25 00:31,Visited Website,Tablet,Email Campaign,New
U1023,4/3/25 00:59,Requested Quote,Desktop,Referral,New
U1023,4/3/25 01:31,Completed Eligibility Check,Mobile,Paid Ads,New
U1023,4/3/25 01:53,Viewed Premium Options,Mobile,Organic,Returning
U1024,4/10/25 00:08,Visited Website,Tablet,Referral,New
U1024,4/10/25 00:41,Requested Quote,Desktop,Referral,New
U1024,4/10/25 01:10,Completed Eligibility Check,Mobile,Email Campaign,Returning
U1024,4/10/25 02:01,Viewed Premium Options,Mobile,Paid Ads,Returning
U1025,4/9/25 00:30,Visited Website,Desktop,Paid Ads,Returning
U1025,4/9/25 01:01,Requested Quote,Mobile,Referral,Returning
U1025,4/9/25 01:59,Completed Eligibility Check,Desktop,Paid Ads,New
U1025,4/9/25 02:51,Viewed Premium Options,Tablet,Referral,Returning
U1025,4/9/25 03:50,Started Application,Mobile,Organic,Returning
U1026,4/5/25 00:12,Visited Website,Tablet,Email Campaign,New
U1026,4/5/25 00:35,Requested Quote,Desktop,Paid Ads,Returning
U1026,4/5/25 01:05,Completed Eligibility Check,Tablet,Paid Ads,Returning
U1026,4/5/25 01:47,Viewed Premium Options,Tablet,Email Campaign,New
U1027,4/9/25 00:09,Visited Website,Tablet,Organic,Returning
U1027,4/9/25 00:20,Requested Quote,Desktop,Organic,Returning
U1027,4/9/25 01:16,Completed Eligibility Check,Desktop,Organic,New
U1027,4/9/25 01:44,Viewed Premium Options,Desktop,Organic,New
U1027,4/9/25 02:11,Started Application,Desktop,Organic,New
U1028,4/8/25 00:45,Visited Website,Desktop,Referral,New
U1028,4/8/25 01:00,Requested Quote,Mobile,Paid Ads,New
U1029,4/1/25 00:31,Visited Website,Mobile,Paid Ads,New
U1029,4/1/25 00:50,Requested Quote,Mobile,Paid Ads,New
U1029,4/1/25 01:05,Completed Eligibility Check,Tablet,Referral,New
U1029,4/1/25 01:35,Viewed Premium Options,Tablet,Email Campaign,New
U1029,4/1/25 02:03,Started Application,Desktop,Organic,New
U1029,4/1/25 02:49,Uploaded Documents,Desktop,Email Campaign,New
U1030,4/8/25 00:20,Visited Website,Mobile,Organic,New
U1032,4/9/25 00:32,Visited Website,Desktop,Organic,Returning
U1032,4/9/25 00:39,Requested Quote,Tablet,Email Campaign,New
U1032,4/9/25 00:57,Completed Eligibility Check,Desktop,Paid Ads,New
U1032,4/9/25 01:16,Viewed Premium Options,Mobile,Referral,New
U1032,4/9/25 01:34,Started Application,Desktop,Email Campaign,New
U1032,4/9/25 01:45,Uploaded Documents,Tablet,Paid Ads,New
U1032,4/9/25 02:13,Purchased Policy,Mobile,Organic,Returning
U1034,4/7/25 00:30,Visited Website,Desktop,Paid Ads,Returning
U1034,4/7/25 00:38,Requested Quote,Tablet,Organic,Returning
U1034,4/7/25 00:43,Completed Eligibility Check,Mobile,Organic,Returning
U1034,4/7/25 01:33,Viewed Premium Options,Mobile,Paid Ads,New
U1034,4/7/25 01:47,Started Application,Tablet,Organic,Returning
U1034,4/7/25 02:08,Uploaded Documents,Desktop,Referral,Returning
U1035,4/10/25 00:17,Visited Website,Desktop,Paid Ads,New
U1035,4/10/25 00:32,Requested Quote,Desktop,Email Campaign,Returning
U1036,4/6/25 00:26,Visited Website,Mobile,Organic,Returning
U1036,4/6/25 00:52,Requested Quote,Mobile,Organic,New
U1037,4/2/25 00:51,Visited Website,Desktop,Referral,New
U1037,4/2/25 01:31,Requested Quote,Mobile,Referral,Returning
U1039,4/10/25 00:34,Visited Website,Mobile,Email Campaign,New
U1039,4/10/25 00:51,Requested Quote,Tablet,Organic,Returning
U1039,4/10/25 01:42,Completed Eligibility Check,Desktop,Email Campaign,New
U1039,4/10/25 02:11,Viewed Premium Options,Desktop,Email Campaign,Returning
U1040,4/1/25 00:45,Visited Website,Desktop,Organic,Returning
U1040,4/1/25 01:38,Requested Quote,Mobile,Email Campaign,Returning
U1040,4/1/25 02:31,Completed Eligibility Check,Mobile,Email Campaign,New
U1040,4/1/25 02:36,Viewed Premium Options,Mobile,Referral,New
U1040,4/1/25 03:04,Started Application,Desktop,Referral,Returning
U1042,4/1/25 00:46,Visited Website,Mobile,Email Campaign,New
U1042,4/1/25 01:09,Requested Quote,Desktop,Organic,New
U1042,4/1/25 01:42,Completed Eligibility Check,Mobile,Referral,Returning
U1042,4/1/25 01:55,Viewed Premium Options,Desktop,Email Campaign,New
U1043,4/4/25 00:53,Visited Website,Tablet,Paid Ads,New
U1044,4/4/25 00:47,Visited Website,Mobile,Paid Ads,Returning
U1044,4/4/25 00:55,Requested Quote,Desktop,Email Campaign,Returning
U1044,4/4/25 01:36,Completed Eligibility Check,Tablet,Paid Ads,New
U1044,4/4/25 01:55,Viewed Premium Options,Tablet,Referral,New
U1044,4/4/25 02:10,Started Application,Mobile,Organic,New
U1044,4/4/25 02:52,Uploaded Documents,Desktop,Email Campaign,Returning
U1044,4/4/25 03:50,Purchased Policy,Mobile,Referral,New
U1045,4/2/25 00:28,Visited Website,Tablet,Organic,New
U1045,4/2/25 00:44,Requested Quote,Mobile,Paid Ads,New
U1045,4/2/25 01:13,Completed Eligibility Check,Desktop,Paid Ads,New
U1045,4/2/25 01:32,Viewed Premium Options,Tablet,Paid Ads,New
U1046,4/6/25 00:35,Visited Website,Mobile,Paid Ads,New
U1046,4/6/25 01:25,Requested Quote,Mobile,Referral,Returning
U1046,4/6/25 02:01,Completed Eligibility Check,Mobile,Referral,Returning
U1046,4/6/25 02:50,Viewed Premium Options,Mobile,Organic,Returning
U1047,4/5/25 00:11,Visited Website,Mobile,Email Campaign,New
U1047,4/5/25 01:07,Requested Quote,Tablet,Organic,New
U1047,4/5/25 01:42,Completed Eligibility Check,Tablet,Email Campaign,Returning
U1048,4/4/25 00:58,Visited Website,Desktop,Paid Ads,Returning
U1048,4/4/25 01:19,Requested Quote,Mobile,Paid Ads,Returning
U1048,4/4/25 01:53,Completed Eligibility Check,Desktop,Paid Ads,Returning
U1049,4/6/25 00:47,Visited Website,Tablet,Paid Ads,Returning
U1049,4/6/25 01:18,Requested Quote,Mobile,Referral,New
U1049,4/6/25 02:11,Completed Eligibility Check,Desktop,Organic,New
U1050,4/5/25 00:40,Visited Website,Mobile,Email Campaign,New
U1050,4/5/25 01:01,Requested Quote,Mobile,Email Campaign,New
U1050,4/5/25 01:27,Completed Eligibility Check,Desktop,Referral,New
